B,57,25,29.48437794,0
C,57,25,29.19012794,0
D,57,25,28.55500294,0
E,57,25,29.27535294,0
A,58,27.5,29.72072794,0
B,58,25,29.22937794,0
C,58,25,28.92012794,0
D,58,25,28.39500294,0
E,58,25,29.09535294,0
A,59,26.25,29.43072794,0
B,59,25,29.00437794,0
C,59,25,28.70012794,0
D,59,25,28.26500294,0
E,59,25,28.93035294,0
